Pozo,Fecha,Salinidad
SITIO_GDE_6D,24/05/1990,98000
SITIO_GDE_6D,18/06/1990,140000
SITIO_GDE_6D,03/07/1990,126000
SITIO_GDE_6D,19/07/1990,120000
SITIO_GDE_6D,20/08/1990,155000
SITIO_GDE_6D,27/08/1990,133000
SITIO_GDE_6D,03/09/1990,132000
SITIO_GDE_6D,13/09/1990,140000
SITIO_GDE_6D,25/09/1990,120000
SITIO_GDE_6D,01/10/1990,145000
SITIO_GDE_6D,22/10/1990,119000
SITIO_GDE_6D,04/11/1990,234000
SITIO_GDE_6D,12/11/1990,129000
SITIO_GDE_6D,28/11/1990,115000
SITIO_GDE_6D,07/12/1990,137000
SITIO_GDE_6D,07/12/1990,137000
SITIO_GDE_6D,10/12/1990,177000
SITIO_GDE_6D,10/12/1990,177000
SITIO_GDE_6D,26/12/1990,155000
SITIO_GDE_6D,26/12/1990,155000
SITIO_GDE_6D,29/01/1991,131000
SITIO_GDE_6D,31/01/1991,168000
SITIO_GDE_6D,07/02/1991,146000
SITIO_GDE_6D,14/02/1991,66000
SITIO_GDE_6D,18/02/1991,149000
SITIO_GDE_6D,25/02/1991,152000
SITIO_GDE_6D,04/03/1991,154000
SITIO_GDE_6D,11/03/1991,152000
SITIO_GDE_6D,26/03/1991,140000
SITIO_GDE_6D,09/04/1991,163000
SITIO_GDE_6D,17/04/1991,169000
SITIO_GDE_6D,23/04/1991,140000
SITIO_GDE_6D,29/04/1991,70000
SITIO_GDE_6D,07/05/1991,141000
SITIO_GDE_6D,31/05/1991,
SITIO_GDE_6D,10/06/1991,164000
SITIO_GDE_6D,18/06/1991,176000
SITIO_GDE_6D,24/06/1991,148000
SITIO_GDE_6D,04/07/1991,145000
SITIO_GDE_6D,09/07/1991,136000
SITIO_GDE_6D,26/07/1991,125000
SITIO_GDE_6D,02/08/1991,152000
SITIO_GDE_6D,08/08/1991,118000
SITIO_GDE_6D,21/08/1991,141500
SITIO_GDE_6D,29/08/1991,20000
SITIO_GDE_6D,02/09/1991,166000
SITIO_GDE_6D,12/09/1991,136000
SITIO_GDE_6D,08/10/1991,177000
SITIO_GDE_6D,15/10/1991,134000
SITIO_GDE_6D,24/10/1991,172000
SITIO_GDE_6D,04/11/1991,146000
SITIO_GDE_6D,18/11/1991,168000
SITIO_GDE_6D,04/12/1991,133000
SITIO_GDE_6D,09/12/1991,141000
SITIO_GDE_6D,18/02/1992,150000
SITIO_GDE_6D,25/02/1992,172000
SITIO_GDE_6D,06/03/1992,145000
SITIO_GDE_6D,17/03/1992,75000
SITIO_GDE_6D,26/03/1992,137000
SITIO_GDE_6D,16/04/1992,165000
SITIO_GDE_6D,22/04/1992,156000
SITIO_GDE_6D,27/04/1992,135000
SITIO_GDE_6D,05/05/1992,140000
SITIO_GDE_6D,03/06/1992,156000
SITIO_GDE_6D,08/06/1992,143000
SITIO_GDE_6D,15/06/1992,
SITIO_GDE_6D,23/06/1992,146000
SITIO_GDE_6D,29/06/1992,161000
SITIO_GDE_6D,08/07/1992,72000
SITIO_GDE_6D,13/07/1992,
SITIO_GDE_6D,20/07/1992,144000
SITIO_GDE_6D,27/07/1992,170000
